LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_encoded,EDUCATION_encoded,MARRIAGE_encoded,PAY_0_encoded,PAY_2_encoded,PAY_3_encoded,PAY_4_encoded,PAY_5_encoded,PAY_6_encoded
0.09090909090897284,,,,,,0.14474888840955147,0.21227027927359582,0.0069366336633526005,,,,,,1.0,2.0,,2.0,2.0,2.0,,2.0,2.0
,,,0.09228432546448187,,,0.11718645031649905,0.17856694413227936,,,,0.0015378421900136266,,0.0,,,2.0,,,,2.0,2.0,2.0
0.22077922077893405,,0.22503105725124448,,0.0868112880918269,,,,,,,,0.024242196896285498,,1.0,5.0,1.0,,,,,1.0,
,0.07407407270233199,,,0.10750085238824791,0.2836662453956331,,0.21199950457608213,0.003996039603952483,0.001128092532086141,0.0022496099738682496,0.002415458937194178,,,,,,,,2.0,,,
0.15584415584395345,,0.3410348493702945,0.17107118978696126,0.14933843137483543,,0.27162640569641694,,,,0.005624024934670625,0.00805152979064726,,0.024153444348829566,,,,,2.0,2.0,,,
,0.20370369993141296,0.22365954855329673,0.08251787757361212,0.09743800350613119,0.256534882021319,,0.19554801979969885,0.0,,,,,0.0015575585608123739,,3.0,,,4.0,,,2.0,2.0
,,,,,0.2506366418862317,,0.18084674750030463,0.0,0.0044423096447728985,,0.015628019323646332,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0
,,,0.26347059366168707,0.19825646099344924,0.47143974431423796,,0.2773954378304904,0.015318811881157784,0.004215503672532422,,,,,1.0,,,,2.0,,,,2.0
0.051948051947984485,,0.21556483257203227,0.07804598761520629,,,,0.1935842626085823,0.0030693069306869914,,0.0014622464830143624,,,0.001805864998043332,1.0,,2.0,,2.0,2.0,2.0,2.0,
,,,,0.08693262645951283,0.2511169986763111,,0.18220660023986862,0.0015940594059374374,0.000635887948349609,,0.005144927536223599,0.010008698118978993,,,3.0,,,,,,,
0.27272727272691855,0.31481480898491093,0.22660343056260437,,,,0.0961279477058963,,0.011039603960374178,,0.0018356817386764918,,0.009762524939664683,,,,,,1.0,,1.0,,
,0.29629629080932796,,,,,,0.23583621974585117,,,0.0033462948361290216,0.004033816425114277,0.006072271756419675,0.005891634556116371,1.0,2.0,,2.0,,4.0,2.0,,2.0
,0.11111110905349798,,0.07432924028269884,,0.23915814427991247,,,,,,,,,,1.0,,,,,,2.0,2.0
0.09090909090897284,,0.2044046922994592,0.06896620594083357,0.08747837459290567,0.2313831298692193,,0.17856694413227936,,,0.0011248049869341248,0.0,,0.0,1.0,3.0,,,2.0,,,1.0,
,,0.3539848596693871,0.1387550798557252,0.12030232470030779,0.30815496986565144,0.17526254776764053,0.23037374595846952,,,,,0.006095716821116277,,,,,3.0,4.0,2.0,2.0,,
0.324675324674903,,,,0.10372398980312783,0.2784499765906867,0.14644088027298963,,0.009900990098990295,,,0.010389694041851224,,0.015557526958143305,0.0,1.0,,,,,2.0,,
0.18181818181794568,0.05555555452674899,,,0.16294699599684248,0.3650901041083833,,0.26674639002637984,,0.0032655310139335664,,0.005636070853453082,0.009378025878640426,0.00902932499021666,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
0.3376623376618991,0.33333332716049396,,,,0.390061891603918,0.27144361433166875,,,,,0.006748792270520533,0.010086066832477777,,1.0,,,,2.0,2.0,,,
0.20779220779193794,,,0.1714649291410191,,0.3805102336287904,,0.2745424804497469,0.2217821782173826,,,0.0072463768115825335,0.011722532348300532,0.010157990613993742,0.0,3.0,1.0,2.0,,2.0,2.0,2.0,
0.16883116883094956,,0.21918039561345054,0.06561181294140835,0.08871975943153869,,,,,,0.007196502306404531,0.0786892109499538,,,,2.0,,1.0,1.0,1.0,,,2.0
,0.14814814540466398,0.32749759794027095,,,0.37468641496822247,0.2530316807115224,,,0.0031467844316087094,,0.006602254428330753,,,,3.0,2.0,,2.0,2.0,,,
0.5454545454538371,0.4999999907407409,0.23954832329192852,,0.10042479409532341,,0.12275924346228285,,0.003552475247517718,0.001424365254986659,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0
0.4545454545448642,0.33333332716049396,0.2146065676328878,0.06422136140606395,,0.23003001215068586,0.08281386214705985,,0.0,0.0,,,0.0,,,,1.0,2.0,,0.0,0.0,,0.0
,0.44444443621399193,,,0.10403474779457687,,0.13618894065352413,0.20835899428963636,,,,,0.0028134077635921274,0.0,,1.0,,2.0,,,2.0,2.0,2.0
,0.46296295438957497,,0.06422136140606395,,0.23306099584020076,0.08544012098587751,0.1805033675999876,,,0.0025195631707324397,,0.005314996166719461,0.006939036254981503,1.0,1.0,,,4.0,,,2.0,
0.2467532467529263,,0.1993536509379874,0.06830331625537868,,,,,,0.0,0.0,0.0,,0.0,1.0,,,1.0,,,0.0,0.0,0.0
0.051948051947984485,,,0.10787221921570937,,,0.16226717535759574,,0.004950495049495148,,,,,0.00451466249510833,1.0,,,,2.0,,2.0,2.0,3.0
,,,,0.16007111196996954,,0.288304164830491,0.2940878010444095,,,0.005624024934670625,0.00805152979064726,,,,,,,2.0,,,2.0,
,,,0.06502215497156325,0.0940394311261496,0.23003001215068586,0.08487143673999432,0.17905040936506403,,,,,0.0,,1.0,,1.0,1.0,,,,1.0,
,,,0.06468452823076484,0.08792529509650907,0.23609603888287128,,,,,0.0022496099738682496,,0.0,0.00451466249510833,,3.0,,3.0,1.0,,,,2.0
