age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,default_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,day_of_week_encoded,poutcome_encoded
40.0,,,999.0,0.0,1.4,,-42.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
31.0,116.0,4.0,999.0,,-1.8,,-46.2,1244.0,5099.1,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0
,13.0,6.0,999.0,1.0,-1.8,92893.0,-46.2,,,,,2.0,,,0.0,1.0,1.0,,1.0
,,5.0,999.0,0.0,1.4,93918.0,-42.7,,,1.0,1.0,0.0,,,0.0,1.0,0.0,1.0,
39.0,344.0,,999.0,0.0,1.1,93994.0,,4.86,5191.0,,2.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.0
,727.0,2.0,999.0,0.0,-1.8,93075.0,,1405.0,5099.1,2.0,,0.0,,1.0,,,2.0,3.0,
,115.0,,999.0,,-1.8,,,,5099.1,0.0,,3.0,1.0,0.0,,1.0,1.0,0.0,
36.0,,2.0,999.0,0.0,1.1,,,,5191.0,3.0,2.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0
,93.0,,999.0,0.0,1.1,,-36.4,4857.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
,174.0,7.0,999.0,0.0,,,,4962.0,5228.1,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,
47.0,253.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4153.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0
50.0,217.0,1.0,,0.0,-0.1,,-42.0,,5195.8,,0.0,2.0,,0.0,,1.0,,,0.0
,,1.0,999.0,,1.4,,,4864.0,5228.1,,,,1.0,,0.0,0.0,4.0,1.0,0.0
,121.0,,999.0,0.0,,93994.0,,4859.0,,0.0,,,1.0,1.0,1.0,0.0,,3.0,
,292.0,8.0,999.0,0.0,1.4,,,4963.0,,,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,
43.0,91.0,1.0,999.0,,,92963.0,,1262.0,5076.2,0.0,0.0,1.0,1.0,,0.0,,,1.0,0.0
36.0,148.0,,,,-1.8,93369.0,-34.8,0.654,5008.7,2.0,0.0,,1.0,1.0,0.0,1.0,,,1.0
,,1.0,999.0,,-0.1,,-42.0,4.12,5195.8,2.0,0.0,,1.0,,0.0,,,,1.0
35.0,130.0,1.0,999.0,,1.4,93918.0,,4962.0,,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0
54.0,41.0,1.0,999.0,0.0,-1.8,93075.0,-47.1,1365.0,5099.1,1.0,0.0,,,0.0,0.0,1.0,,,0.0
32.0,180.0,2.0,999.0,,1.1,93994.0,,,5191.0,5.0,2.0,4.0,1.0,,,,1.0,4.0,
32.0,,,999.0,1.0,,92893.0,,1281.0,5099.1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,4.0,
36.0,569.0,2.0,999.0,0.0,-2.9,,-40.8,,5076.2,4.0,2.0,3.0,1.0,,0.0,,4.0,1.0,
33.0,398.0,2.0,999.0,0.0,1.4,94465.0,-41.8,4959.0,5228.1,3.0,,,0.0,1.0,,,4.0,3.0,
28.0,98.0,1.0,999.0,,,93075.0,,1405.0,5099.1,6.0,,1.0,,0.0,0.0,,2.0,3.0,0.0
32.0,262.0,,999.0,,-1.8,,-46.2,1299.0,5099.1,,0.0,5.0,,0.0,,1.0,,0.0,1.0
,,1.0,,1.0,,92893.0,-46.2,,5099.1,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
38.0,,3.0,,,1.1,93994.0,-36.4,4857.0,5191.0,7.0,,,1.0,0.0,0.0,0.0,,1.0,
34.0,81.0,2.0,,,-1.8,,,,5099.1,4.0,0.0,3.0,1.0,0.0,,,1.0,,0.0
