age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,default_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,day_of_week_encoded,poutcome_encoded,y
,,,999.0,0.0,1.4,,-42.7,,5228.1,0.0,,0.0,,0.0,,0.0,0.0,,0.0,no
,,,,,,,-46.2,,,1.0,,1.0,,1.0,,1.0,1.0,,0.0,no
59.0,13.0,6.0,,1.0,,92893.0,-46.2,1354.0,5099.1,,,2.0,,1.0,,1.0,,0.0,,no
,,5.0,999.0,,1.4,,-42.7,,5228.1,,,,,0.0,,1.0,,,,no
,,,,0.0,1.1,,-36.4,4.86,5191.0,,,3.0,0.0,1.0,0.0,0.0,,1.0,0.0,no
,727.0,2.0,,0.0,,93075.0,-47.1,1405.0,5099.1,2.0,,,,1.0,0.0,,,,0.0,no
,,,,0.0,,92893.0,,,,1.0,,,1.0,0.0,0.0,,1.0,,,no
,,2.0,,0.0,1.1,,-36.4,4857.0,5191.0,,0.0,,0.0,,,,,2.0,,no
,,2.0,999.0,0.0,1.1,,-36.4,4857.0,5191.0,,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,no
,,7.0,,,1.4,93918.0,-42.7,,,3.0,0.0,,1.0,,,1.0,0.0,3.0,,no
47.0,253.0,,,,,93.2,-42.0,,5195.8,,2.0,4.0,,1.0,,,,,,no
,217.0,,,,,,-42.0,,,,1.0,,,,,1.0,2.0,1.0,0.0,no
39.0,,,999.0,,,,-41.8,,,,1.0,,,0.0,,0.0,,2.0,,no
,121.0,1.0,999.0,,1.1,93994.0,,,5191.0,,,,,1.0,1.0,,1.0,,,no
,,8.0,999.0,0.0,1.4,,-42.7,4963.0,5228.1,,,2.0,1.0,0.0,0.0,,,,,no
,,,,0.0,,,-40.8,,,1.0,,,,0.0,,1.0,,2.0,,no
36.0,148.0,1.0,999.0,,,93369.0,-34.8,,,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,yes
,,,999.0,1.0,,93.2,-42.0,4.12,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,,no
35.0,130.0,,999.0,0.0,1.4,93918.0,,4962.0,5228.1,2.0,1.0,,1.0,,0.0,1.0,0.0,3.0,0.0,no
,,,,,,,,1365.0,5099.1,,1.0,3.0,1.0,,,1.0,,1.0,0.0,no
,180.0,2.0,,,,93994.0,-36.4,,,,,3.0,,0.0,,,1.0,3.0,0.0,no
,134.0,1.0,999.0,,,,-46.2,,5099.1,0.0,0.0,,0.0,,,,1.0,,,no
36.0,,2.0,,0.0,-2.9,92963.0,-40.8,1252.0,,3.0,0.0,,1.0,0.0,,,4.0,,0.0,no
,,,999.0,0.0,,,,,,,2.0,,,1.0,,0.0,,,0.0,no
28.0,98.0,1.0,999.0,0.0,,,,,,4.0,,1.0,0.0,0.0,0.0,,5.0,4.0,,no
32.0,262.0,,,,-1.8,92893.0,,,5099.1,1.0,,,1.0,0.0,,,,,,no
,551.0,,,1.0,,92893.0,-46.2,,5099.1,,,,,0.0,,1.0,1.0,1.0,1.0,no
38.0,,3.0,999.0,0.0,,93994.0,-36.4,,5191.0,,0.0,3.0,,0.0,0.0,,,2.0,0.0,no
34.0,,2.0,999.0,0.0,,,-46.2,1313.0,5099.1,3.0,1.0,4.0,1.0,0.0,0.0,,1.0,4.0,,no
34.0,,11.0,999.0,,,92893.0,-46.2,,,,,4.0,1.0,0.0,,1.0,1.0,3.0,0.0,no
54.0,,1.0,999.0,0.0,-0.1,93.2,,4153.0,,,,1.0,1.0,,0.0,1.0,2.0,,,no
23.0,,1.0,,0.0,-1.8,92893.0,-46.2,1266.0,5099.1,3.0,,3.0,1.0,,,,,,,no
,,,999.0,1.0,,,-42.0,4021.0,,5.0,,,,,0.0,,,4.0,,no
82.0,,6.0,999.0,0.0,,,-34.6,0.638,,,,,1.0,,2.0,,,,,yes
,838.0,3.0,999.0,0.0,1.4,93918.0,-42.7,4961.0,5228.1,,1.0,,1.0,0.0,,1.0,,,0.0,yes
,,,999.0,0.0,1.4,,-42.7,4963.0,,,,1.0,,0.0,1.0,1.0,,,0.0,no
,210.0,,999.0,,-1.8,,,1405.0,5099.1,,,,1.0,1.0,0.0,1.0,5.0,0.0,,no
,,1.0,999.0,0.0,-0.1,93.2,-42.0,,5195.8,,,3.0,1.0,,1.0,1.0,,,,no
,,1.0,999.0,,-1.8,92893.0,,1334.0,5099.1,,2.0,,1.0,,0.0,,1.0,3.0,1.0,no
,500.0,1.0,999.0,0.0,,,-36.4,4855.0,,,,1.0,,,0.0,,,,0.0,no
43.0,,3.0,,0.0,1.4,94465.0,,4967.0,,,2.0,,,,0.0,0.0,4.0,,,no
,,4.0,,0.0,,93994.0,-36.4,,5191.0,6.0,0.0,,,,0.0,0.0,1.0,4.0,0.0,no
,296.0,,,1.0,-3.4,92649.0,-30.1,,5017.5,3.0,0.0,,1.0,,,,,3.0,,yes
33.0,199.0,,999.0,0.0,1.4,93918.0,-42.7,4.96,5228.1,2.0,,1.0,,,0.0,1.0,,,,no
,,,6.0,,-0.1,,,4153.0,5195.8,1.0,,0.0,,,,1.0,,,,no
,,8.0,999.0,0.0,-3.4,92649.0,,,5017.5,1.0,1.0,,,0.0,0.0,,,0.0,,no
40.0,,2.0,999.0,0.0,1.4,93444.0,-36.1,,,3.0,0.0,4.0,,1.0,0.0,,,3.0,,no
,262.0,4.0,,0.0,1.1,,-36.4,,,,1.0,,1.0,2.0,2.0,,,,,no
,548.0,8.0,,0.0,1.4,94465.0,,,,5.0,1.0,3.0,1.0,,,,,,,no
89.0,,1.0,999.0,,-1.1,94199.0,,0.881,4963.6,7.0,,,,,,,6.0,,0.0,yes
,96.0,1.0,,,-2.9,92201.0,,,5076.2,,,1.0,,0.0,,1.0,7.0,,,no
,,3.0,,0.0,-0.1,93.2,-42.0,,5195.8,1.0,1.0,3.0,1.0,1.0,0.0,,2.0,,0.0,no
,348.0,,,,,93.2,,4076.0,5195.8,,,0.0,1.0,,,,,,,no
,,1.0,999.0,0.0,,93444.0,,4964.0,5228.1,,,5.0,0.0,0.0,1.0,1.0,7.0,,0.0,no
,,,,0.0,1.1,93994.0,-36.4,4858.0,,8.0,1.0,1.0,,1.0,0.0,0.0,1.0,,0.0,no
,210.0,1.0,,1.0,,,-26.9,,5017.5,,0.0,,1.0,0.0,0.0,,,2.0,,yes
24.0,201.0,,999.0,0.0,-1.8,,,1299.0,5099.1,5.0,,3.0,1.0,0.0,,1.0,1.0,,,no
,,1.0,999.0,,-0.1,,,4191.0,,8.0,,,,0.0,,1.0,,0.0,1.0,no
,,,999.0,,1.4,93444.0,,,5228.1,,1.0,,,0.0,,1.0,7.0,3.0,0.0,no
,,,,,,92893.0,-46.2,,5099.1,,0.0,1.0,,0.0,0.0,,1.0,,0.0,yes
,74.0,,,0.0,,,-36.1,4963.0,5228.1,3.0,,4.0,1.0,,,1.0,7.0,,,no
,,2.0,999.0,,1.1,93994.0,-36.4,,,,,2.0,,,,,,,0.0,no
36.0,227.0,2.0,,0.0,,,-46.2,1327.0,,,,3.0,,1.0,0.0,,1.0,1.0,,no
,,,,0.0,,94465.0,,,,,1.0,,0.0,,0.0,0.0,,0.0,,no
,274.0,2.0,999.0,,,,,4961.0,,,1.0,,1.0,0.0,,,4.0,0.0,,no
,72.0,,999.0,,1.4,94465.0,-41.8,4967.0,,,1.0,0.0,,1.0,,,,,,no
,344.0,,999.0,0.0,,,-46.2,1291.0,,5.0,,0.0,1.0,,,1.0,1.0,2.0,,no
,167.0,,6.0,2.0,,,,,5008.7,6.0,,2.0,0.0,,,,,2.0,,yes
32.0,,,,,,,,0.881,,,,4.0,,,0.0,,7.0,4.0,1.0,no
58.0,158.0,3.0,,,,93.2,,,5195.8,,1.0,4.0,,,,1.0,,4.0,,no
43.0,,1.0,,,1.4,93918.0,-42.7,,,6.0,1.0,2.0,1.0,0.0,,1.0,0.0,3.0,,no
31.0,,,,0.0,,,-42.0,,,,0.0,3.0,,1.0,,1.0,2.0,4.0,,no
30.0,26.0,10.0,,,-0.1,93.2,-42.0,,,,,,,,1.0,,2.0,4.0,,no
,1007.0,,999.0,,1.1,,-36.4,4855.0,5191.0,2.0,,,1.0,1.0,0.0,,1.0,,0.0,no
50.0,184.0,2.0,,,1.1,,-36.4,,,0.0,,5.0,0.0,,,,,1.0,0.0,no
52.0,,,999.0,,,,,4855.0,5191.0,3.0,,,1.0,,,0.0,,,,no
62.0,,3.0,,,-1.7,,,0.827,,3.0,1.0,5.0,,2.0,2.0,,,,,yes
,,,999.0,0.0,,,,4959.0,5228.1,8.0,1.0,,,1.0,,0.0,4.0,4.0,,no
36.0,193.0,6.0,999.0,0.0,,,,4.86,5191.0,,,3.0,,0.0,0.0,0.0,1.0,1.0,,no
30.0,613.0,,999.0,0.0,-0.1,,-42.0,4153.0,5195.8,3.0,1.0,,1.0,,0.0,,,,,no
,,1.0,7.0,,,92649.0,,0.714,,2.0,1.0,1.0,1.0,,0.0,,2.0,0.0,,no
,,,999.0,1.0,,,,,,,1.0,,,,,1.0,,,1.0,no
53.0,,1.0,999.0,,,,-42.7,4962.0,5228.1,0.0,1.0,,0.0,,,0.0,,,,no
50.0,45.0,1.0,,,,93.2,-42.0,,,1.0,0.0,0.0,,2.0,2.0,0.0,2.0,1.0,0.0,no
,154.0,2.0,,,,92893.0,-46.2,,5099.1,5.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.0,,no
,349.0,1.0,,,,93994.0,-36.4,4856.0,5191.0,,,,1.0,1.0,,0.0,1.0,,,no
,41.0,,,,1.4,93918.0,,4.96,5228.1,,,0.0,1.0,,,0.0,0.0,,0.0,no
40.0,,,,,-0.1,93.2,-42.0,4.12,5195.8,3.0,1.0,4.0,,,0.0,,,,,no
30.0,,,,0.0,1.4,94465.0,,4961.0,,,1.0,,,1.0,0.0,,,2.0,,no
65.0,138.0,,999.0,,,,-49.5,,4963.6,,1.0,,1.0,0.0,0.0,0.0,,1.0,,no
,,,,,-0.1,93.2,-42.0,4153.0,5195.8,,0.0,,,0.0,,1.0,2.0,2.0,1.0,no
36.0,74.0,3.0,,1.0,,,-46.2,,,,0.0,,1.0,0.0,0.0,1.0,,0.0,,no
47.0,104.0,1.0,,1.0,-0.1,93.2,-42.0,,,1.0,,4.0,,1.0,0.0,,,,1.0,no
56.0,86.0,,,0.0,1.1,93994.0,-36.4,,5191.0,,,,,,,,1.0,,,no
31.0,,,999.0,,1.4,93444.0,-36.1,4964.0,5228.1,,,,,0.0,0.0,,7.0,,0.0,no
56.0,,,,,,,-42.7,4968.0,,9.0,1.0,2.0,0.0,,,,0.0,,,no
32.0,,6.0,,0.0,1.4,,-42.7,,5228.1,1.0,,,,,0.0,,0.0,1.0,,no
40.0,,2.0,,0.0,,93994.0,-36.4,4858.0,5191.0,,,0.0,,,1.0,,,3.0,,no
,137.0,3.0,999.0,,1.4,,-41.8,,,7.0,,,0.0,0.0,0.0,,4.0,2.0,,no
,,,,0.0,,,,,,8.0,1.0,1.0,0.0,,0.0,1.0,0.0,,,no
44.0,254.0,,999.0,,1.1,93994.0,-36.4,,,,1.0,,,,0.0,,1.0,2.0,,no
,,1.0,,0.0,1.1,93994.0,-36.4,4.86,5191.0,1.0,0.0,,,,,,1.0,1.0,,no
,399.0,1.0,999.0,,,,,1.41,5099.1,,1.0,,1.0,,,,5.0,1.0,0.0,no
28.0,,2.0,999.0,,,92893.0,,,,0.0,,1.0,0.0,,0.0,1.0,1.0,,0.0,no
,,8.0,,,,92893.0,-46.2,,5099.1,3.0,,,1.0,,0.0,1.0,,1.0,0.0,no
39.0,51.0,2.0,,,1.4,,-42.7,4.96,5228.1,,,0.0,1.0,1.0,1.0,,,,,no
29.0,,,,,-1.8,92893.0,-46.2,,5099.1,0.0,1.0,,1.0,1.0,,1.0,1.0,,,no
,,,999.0,1.0,,,,1281.0,,0.0,,,,,0.0,1.0,1.0,3.0,,yes
33.0,227.0,,999.0,1.0,-1.8,,-46.2,1.25,5099.1,,,3.0,,0.0,0.0,1.0,1.0,,,no
,587.0,1.0,999.0,,,93994.0,-36.4,,,,1.0,,,1.0,0.0,,,,,no
,554.0,2.0,,,1.4,,-42.7,4.96,5228.1,,1.0,,,,,1.0,0.0,0.0,0.0,no
,418.0,2.0,,,1.1,,,4856.0,,3.0,,,,,,,1.0,3.0,,no
51.0,809.0,1.0,999.0,,-1.8,92893.0,,1281.0,,,1.0,,,,,1.0,,,1.0,yes
,64.0,,999.0,0.0,1.4,,-36.1,4963.0,5228.1,1.0,,1.0,0.0,,,1.0,,,0.0,no
33.0,,5.0,999.0,0.0,,,,1291.0,,,,3.0,1.0,,0.0,,1.0,2.0,,no
,,,,0.0,,,,,5228.1,3.0,,,1.0,1.0,,0.0,0.0,,,no
60.0,,2.0,,,1.4,,-36.1,4966.0,,,,1.0,,1.0,,,7.0,4.0,0.0,no
,,,999.0,,,,-42.7,4961.0,5228.1,1.0,1.0,3.0,,0.0,0.0,,,2.0,0.0,no
31.0,244.0,1.0,999.0,,,,,,5195.8,,0.0,1.0,,0.0,,1.0,,,0.0,no
47.0,,1.0,999.0,0.0,1.4,93918.0,,,,0.0,,,,0.0,0.0,1.0,0.0,,,no
,83.0,4.0,,,,92963.0,-40.8,1.26,,2.0,,,,,2.0,1.0,,,,no
,128.0,,,0.0,1.4,93918.0,-42.7,4968.0,,3.0,,4.0,,,,,0.0,1.0,0.0,no
31.0,379.0,,,,,,,1405.0,,5.0,2.0,3.0,1.0,,0.0,,5.0,0.0,0.0,no
,,3.0,,,1.1,,,4864.0,5191.0,6.0,2.0,3.0,,,,0.0,1.0,4.0,,yes
30.0,120.0,,999.0,0.0,1.1,93994.0,,4864.0,,5.0,0.0,4.0,1.0,,0.0,0.0,,,0.0,no
38.0,118.0,1.0,999.0,,,,,,4991.6,,0.0,3.0,1.0,1.0,,,,,,no
31.0,,,999.0,,,,-42.0,,,,,,1.0,1.0,0.0,1.0,2.0,,1.0,no
37.0,,,,,1.1,93994.0,-36.4,,,,,0.0,,0.0,,0.0,,,0.0,no
,,1.0,,0.0,,93444.0,,,5228.1,0.0,,6.0,,,,,7.0,3.0,,no
,,,,,,93075.0,-47.1,,5099.1,5.0,1.0,1.0,1.0,,0.0,1.0,,,0.0,no
54.0,653.0,1.0,999.0,0.0,,,,,5195.8,6.0,2.0,1.0,1.0,0.0,1.0,,,1.0,,yes
,,7.0,,,1.1,,-36.4,,5191.0,,,4.0,,0.0,,0.0,1.0,0.0,0.0,no
